RD,STNUM,STDIR,STREET,DISTRICT,DATEOCC,TIME,PRIMARY_CLASS,SECONDARY_CLASS,RECOVERED_I
HS345615,7XX,N,DEARBORN ST,18,1-May-10,11:00 AM,THEFT,OVER $500,N
HS285483,10XX,W,32ND ST,9,1-May-10,12:10 PM,THEFT,$500 AND UNDER,N
HS285649,1XX,S,WABASH AVE,1,1-May-10,2:00 PM,THEFT,OVER $500,N
HS285898,16XX,N,LAKE SHORE DR,18,1-May-10,3:00 PM,THEFT,OVER $500,N
HS286062,18XX,N,LEAVITT ST,14,1-May-10,5:35 PM,THEFT,$500 AND UNDER,N
HS286723,XX,E,RANDOLPH ST,1,1-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS286718,XX,W,RANDOLPH ST,1,1-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS286492,55XX,N,SAWYER AVE,17,1-May-10,9:00 PM,THEFT,OVER $500,N
HS286492,55XX,N,SAWYER AVE,17,1-May-10,9:00 PM,THEFT,OVER $500,N
HS286492,55XX,N,SAWYER AVE,17,1-May-10,9:00 PM,THEFT,OVER $500,N
HS286863,34XX,W,PETERSON AVE,17,2-May-10,7:15 AM,THEFT,$500 AND UNDER,N
HS287130,1XX,E,ONTARIO ST,18,2-May-10,12:00 PM,THEFT,OVER $500,N
HS287619,27XX,N,CLARK ST,23,2-May-10,4:20 PM,THEFT,OVER $500,N
HS287611,27XX,N,CLARK ST,23,2-May-10,4:20 PM,THEFT,OVER $500,N
HS302283,28XX,W,BELMONT AVE,17,2-May-10,5:30 PM,THEFT,$500 AND UNDER,N
HS288071,1XX,N,STATE ST,1,2-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS287895,5XX,W,WASHINGTON BLVD,1,2-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS287868,3XX,E,ILLINOIS ST,18,2-May-10,8:20 PM,THEFT,OVER $500,N
HS287868,3XX,E,ILLINOIS ST,18,2-May-10,8:20 PM,THEFT,OVER $500,N
HS287697,13XX,N,MILWAUKEE AVE,14,2-May-10,8:50 PM,THEFT,OVER $500,N
HS289587,30XX,N,KENMORE AVE,19,3-May-10,1:00 PM,THEFT,OVER $500,N
HS289207,19XX,W,LAWRENCE AVE,19,3-May-10,5:00 PM,THEFT,OVER $500,N
HS289278,32XX,W,THORNDALE AVE,17,3-May-10,6:30 PM,THEFT,$500 AND UNDER,N
HS289976,2XX,W,NORTH AVE,18,3-May-10,7:00 PM,THEFT,OVER $500,N
HS289354,23XX,N,RACINE AVE,18,3-May-10,7:55 PM,THEFT,$500 AND UNDER,N
HS289497,66XX,S,WASHTENAW AVE,8,3-May-10,9:00 PM,THEFT,$500 AND UNDER,N
HS289908,25XX,S,KEDZIE AVE,10,4-May-10,8:25 AM,THEFT,OVER $500,N
HS290926,2XX,E,RANDOLPH ST,1,4-May-10,8:30 AM,THEFT,OVER $500,N
HS300689,12XX,S,PLYMOUTH CT,1,4-May-10,10:00 AM,THEFT,OVER $500,N
HS290232,56XX,S,FAIRFIELD AVE,8,4-May-10,10:30 AM,THEFT,OVER $500,N
HS290232,56XX,S,FAIRFIELD AVE,8,4-May-10,10:30 AM,THEFT,OVER $500,N
HS290184,11XX,W,GRAND AVE,13,4-May-10,11:05 AM,THEFT,OVER $500,N
HS291470,1XX,W,JACKSON BLVD,1,4-May-10,3:00 PM,THEFT,OVER $500,N
HS291999,8XX,N,MICHIGAN AVE,18,4-May-10,3:00 PM,THEFT,OVER $500,N
HS354785,15XX,N,ROCKWELL ST,14,4-May-10,3:00 PM,THEFT,$500 AND UNDER,N
HS294429,5XX,W,ADAMS ST,1,4-May-10,3:30 PM,THEFT,OVER $500,N
HS291708,8XX,W,ALDINE AVE,23,4-May-10,6:00 PM,THEFT,OVER $500,N
HS291829,8XX,W,GRACE ST,23,4-May-10,8:30 PM,THEFT,OVER $500,N
HS347703,37XX,N,PINE GROVE AVE,23,4-May-10,9:00 PM,THEFT,OVER $500,N
HS291973,1XX,N,STETSON AVE,1,5-May-10,10:15 AM,THEFT,OVER $500,N
HS293000,19XX,W,ARMITAGE AVE,14,5-May-10,7:15 PM,THEFT,OVER $500,N
HS293231,1XX,W,OHIO ST,18,5-May-10,7:30 PM,THEFT,OVER $500,N
HS293099,70XX,N,CLARK ST,24,5-May-10,8:30 PM,THEFT,$500 AND UNDER,N
HS294449,51XX,S,PULASKI RD,8,6-May-10,8:15 AM,THEFT,$500 AND UNDER,N
HS294834,2XX,W,HURON ST,18,6-May-10,11:15 AM,THEFT,OVER $500,N
HS295083,9XX,S,WABASH AVE,1,6-May-10,4:30 PM,THEFT,OVER $500,N
HS295640,54XX,S,INGLESIDE AVE,21,6-May-10,5:00 PM,THEFT,OVER $500,N
HS294752,8XX,N,MICHIGAN AVE,18,6-May-10,6:00 PM,THEFT,OVER $500,N
HS295560,16XX,N,WOOD ST,14,6-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS295308,15XX,W,AUGUSTA BLVD,13,6-May-10,8:00 PM,THEFT,OVER $500,N
HS279729,9XX,W,FULLERTON AVE,18,6-May-10,11:00 PM,THEFT,$500 AND UNDER,N
HS295967,8XX,N,MICHIGAN AVE,18,7-May-10,1:00 PM,THEFT,$500 AND UNDER,N
HS299346,11XX,E,100TH PL,5,8-May-10,3:30 PM,THEFT,$500 AND UNDER,N
HS340691,17XX,N,PAULINA ST,14,9-May-10,2:00 AM,THEFT,OVER $500,N
HS299025,14XX,W,WEBSTER AVE,18,9-May-10,10:30 AM,THEFT,OVER $500,N
HS318958,28XX,N,ORCHARD ST,19,9-May-10,1:30 PM,THEFT,OVER $500,N
HS299575,29XX,W,BERWYN AVE,20,9-May-10,3:00 PM,THEFT,OVER $500,N
HS299208,35XX,N,KILBOURN AVE,17,9-May-10,3:30 PM,THEFT,OVER $500,N
HS299203,34XX,W,BEACH AVE,14,9-May-10,3:45 PM,THEFT,$500 AND UNDER,N
HS302470,17XX,N,DAMEN AVE,14,9-May-10,5:30 PM,THEFT,OVER $500,N
HS300087,31XX,W,MOFFAT ST,14,10-May-10,3:00 AM,THEFT,OVER $500,N
HS300946,3XX,S,FRANKLIN ST,1,10-May-10,9:30 AM,THEFT,OVER $500,N
HS302784,XX,W,NORTH BLVD,18,10-May-10,10:30 AM,THEFT,OVER $500,N
HS300594,2XX,W,MONROE ST,1,10-May-10,11:20 AM,THEFT,OVER $500,N
HS300461,1XX,N,LA SALLE ST,1,10-May-10,12:15 PM,THEFT,OVER $500,N
HS300947,76XX,S,KINGSTON AVE,4,10-May-10,2:00 PM,THEFT,$500 AND UNDER,N
HS300947,76XX,S,KINGSTON AVE,4,10-May-10,2:00 PM,THEFT,$500 AND UNDER,N
HS302166,11XX,E,57TH ST,21,10-May-10,2:00 PM,THEFT,$500 AND UNDER,N
HS300902,43XX,W,HIRSCH ST,25,10-May-10,5:15 PM,THEFT,$500 AND UNDER,N
HS302642,2XX,N,WELLS ST,1,11-May-10,8:45 AM,THEFT,OVER $500,N
HS304886,78XX,S,ADA ST,6,11-May-10,10:30 AM,THEFT,$500 AND UNDER,N
HS309712,4XX,W,JACKSON BLVD,1,12-May-10,6:00 AM,THEFT,OVER $500,N
HS303859,3XX,S,WELLS ST,1,12-May-10,9:00 AM,THEFT,OVER $500,N
HS303799,16XX,N,PULASKI RD,25,12-May-10,12:30 PM,THEFT,OVER $500,N
HS304468,54XX,W,DEVON AVE,16,12-May-10,12:30 PM,THEFT,OVER $500,N
HS304339,45XX,N,MILWAUKEE AVE,16,12-May-10,4:53 PM,THEFT,$500 AND UNDER,N
HS304536,81XX,S,KOSTNER AVE,8,12-May-10,5:00 PM,THEFT,$500 AND UNDER,N
HS318985,67XX,N,CALIFORNIA AVE,24,13-May-10,12:00 AM,THEFT,$500 AND UNDER,N
HS305448,23XX,W,WILSON AVE,19,13-May-10,11:20 AM,THEFT,OVER $500,N
HS305583,72XX,N,CLAREMONT AVE,24,13-May-10,1:15 PM,THEFT,$500 AND UNDER,N
HS306932,13XX,W,BARRY AVE,19,13-May-10,5:00 PM,THEFT,OVER $500,N
HS306290,41XX,W,IRVING PARK RD,17,13-May-10,6:00 PM,THEFT,OVER $500,N
HS313709,15XX,W,SCHOOL ST,19,13-May-10,6:00 PM,THEFT,OVER $500,N
HS306509,11XX,W,WEBSTER AVE,18,13-May-10,11:20 PM,THEFT,OVER $500,N
HS307702,48XX,N,RAVENSWOOD AVE,20,14-May-10,5:45 AM,THEFT,OVER $500,N
HS313742,15XX,W,SCHOOL ST,19,14-May-10,9:00 AM,THEFT,OVER $500,N
HS309437,37XX,N,MAGNOLIA AVE,19,14-May-10,11:00 AM,THEFT,OVER $500,N
HS327470,9XX,W,ADDISON ST,23,14-May-10,2:00 PM,THEFT,OVER $500,N
HS307612,40XX,N,SHERIDAN RD,23,14-May-10,3:00 PM,THEFT,OVER $500,N
HS311656,11XX,W,GRAND AVE,13,14-May-10,4:00 PM,THEFT,OVER $500,N
HS309480,12XX,W,BELMONT AVE,19,14-May-10,7:30 PM,THEFT,OVER $500,N
HS309173,7XX,N,WOLCOTT AVE,13,15-May-10,11:30 AM,THEFT,OVER $500,N
HT240525,23XX,W,BLOOMINGDALE AVE,14,15-May-10,12:00 PM,THEFT,OVER $500,N
HS309065,13XX,N,SANDBURG TER,18,15-May-10,1:00 PM,THEFT,OVER $500,N
HS309308,15XX,N,CLARK ST,18,15-May-10,3:00 PM,THEFT,OVER $500,N
HS338081,30XX,W,JACKSON BLVD,11,15-May-10,3:00 PM,THEFT,$500 AND UNDER,N
HS309343,112XX,S,MAPLEWOOD AVE,22,15-May-10,4:20 PM,THEFT,$500 AND UNDER,N
HS309621,20XX,W,CHICAGO AVE,13,15-May-10,7:40 PM,THEFT,$500 AND UNDER,N
HS314325,41XX,W,ADAMS ST,11,16-May-10,10:00 AM,THEFT,$500 AND UNDER,N
HS310330,6XX,W,POLK ST,1,16-May-10,10:00 AM,THEFT,OVER $500,N
HS310574,46XX,S,TRUMBULL AVE,8,16-May-10,1:30 PM,THEFT,$500 AND UNDER,N
HS312182,2XX,W,ADAMS ST,1,16-May-10,3:00 PM,THEFT,OVER $500,N
HS310752,8XX,N,MIES VAN DER ROHE WAY,18,16-May-10,3:00 PM,THEFT,OVER $500,N
HS312774,13XX,W,EDDY ST,19,16-May-10,6:00 PM,THEFT,OVER $500,N
HS311778,6XX,W,DIVERSEY PKWY,23,17-May-10,9:15 AM,THEFT,OVER $500,N
HS312137,1XX,N,STETSON AVE,1,17-May-10,11:00 AM,THEFT,OVER $500,N
HS312981,26XX,N,ELSTON AVE,14,17-May-10,4:00 PM,THEFT,$500 AND UNDER,N
HS316069,31XX,N,MOBILE AVE,25,17-May-10,5:30 PM,THEFT,OVER $500,N
HS312773,28XX,W,DEVON AVE,24,17-May-10,7:17 PM,THEFT,$500 AND UNDER,N
HS315245,15XX,W,FARGO AVE,24,17-May-10,9:00 PM,THEFT,OVER $500,N
HS368253,58XX,S,UNIVERSITY AVE,21,18-May-10,1:30 PM,THEFT,OVER $500,N
HS314028,84XX,S,VERNON AVE,6,18-May-10,2:00 PM,THEFT,$500 AND UNDER,N
HS317321,53XX,N,LYNCH AVE,16,18-May-10,8:00 PM,THEFT,OVER $500,N
HS317321,53XX,N,LYNCH AVE,16,18-May-10,8:00 PM,THEFT,OVER $500,N
HS314729,22XX,N,SHEFFIELD AVE,18,18-May-10,9:00 PM,THEFT,$500 AND UNDER,N
HS315521,7XX,N,LA SALLE DR,18,19-May-10,7:30 AM,THEFT,$500 AND UNDER,N
HS315922,16XX,W,ARMITAGE AVE,14,19-May-10,8:30 AM,THEFT,$500 AND UNDER,N
HS315168,4XX,S,STATE ST,1,19-May-10,9:30 AM,THEFT,$500 AND UNDER,N
HS316033,48XX,N,KIMBALL AVE,17,19-May-10,1:00 PM,THEFT,OVER $500,N
HS315470,6XX,W,NORTH AVE,18,19-May-10,1:10 PM,THEFT,OVER $500,N
HS315620,5XX,N,OGDEN AVE,13,19-May-10,1:45 PM,THEFT,OVER $500,N
HS317608,52XX,S,MARSHFIELD AVE,9,19-May-10,8:00 PM,THEFT,$500 AND UNDER,N
HS327774,2XX,N,MICHIGAN AVE,1,20-May-10,7:00 AM,THEFT,OVER $500,N
HS316880,23XX,W,OHIO ST,13,20-May-10,8:00 AM,THEFT,$500 AND UNDER,N
HS317953,2XX,N,MICHIGAN AVE,1,20-May-10,8:00 AM,THEFT,OVER $500,N
HS319065,2XX,S,WACKER DR,1,20-May-10,5:00 PM,THEFT,OVER $500,N
HS320338,28XX,N,PINE GROVE AVE,23,20-May-10,7:00 PM,THEFT,OVER $500,N
HS318455,XX,E,HURON ST,18,20-May-10,9:30 PM,THEFT,OVER $500,N
HS318384,6XX,S,DEARBORN ST,1,20-May-10,10:00 PM,THEFT,OVER $500,N
HS318779,48XX,N,RAVENSWOOD AVE,20,21-May-10,6:50 AM,THEFT,$500 AND UNDER,N
HS318983,2XX,E,HURON ST,18,21-May-10,8:00 AM,THEFT,OVER $500,N
HS376786,49XX,N,MILWAUKEE AVE,16,21-May-10,8:00 AM,THEFT,$500 AND UNDER,N
HS319077,4XX,S,STATE ST,1,21-May-10,12:00 PM,THEFT,$500 AND UNDER,N
HS322440,23XX,N,KENMORE AVE,18,22-May-10,12:00 AM,THEFT,OVER $500,N
HS320798,2XX,E,HURON ST,18,22-May-10,7:00 AM,THEFT,OVER $500,N
HS320558,4XX,N,MC CLURG CT,18,22-May-10,11:30 AM,THEFT,OVER $500,N
HS357722,18XX,W,IOWA ST,13,22-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS321454,5XX,W,DEMING PL,19,22-May-10,8:00 PM,THEFT,$500 AND UNDER,N
HS324510,25XX,N,SPRINGFIELD AVE,25,22-May-10,11:00 PM,THEFT,OVER $500,N
HS322241,27XX,W,LOGAN BLVD,14,23-May-10,12:00 AM,THEFT,OVER $500,N
HS321577,20XX,W,NORTH AVE,14,23-May-10,12:50 AM,THEFT,OVER $500,N
HS321585,16XX,N,MILWAUKEE AVE,14,23-May-10,12:56 AM,THEFT,OVER $500,N
HS321840,17XX,N,WINCHESTER AVE,14,23-May-10,3:00 AM,THEFT,OVER $500,N
HS322164,23XX,N,KEDZIE BLVD,14,23-May-10,8:00 AM,THEFT,$500 AND UNDER,N
HS321983,10XX,N,CLARK ST,18,23-May-10,9:00 AM,THEFT,OVER $500,N
HS322026,28XX,W,TOUHY AVE,24,23-May-10,11:00 AM,THEFT,$500 AND UNDER,N
HS322332,3XX,N,MICHIGAN AVE,1,23-May-10,1:00 PM,THEFT,OVER $500,N
HS322217,27XX,N,MILWAUKEE AVE,14,23-May-10,1:27 PM,THEFT,$500 AND UNDER,N
HS322647,16XX,N,LAKE SHORE DR,18,23-May-10,1:30 PM,THEFT,OVER $500,N
HS323402,12XX,W,VAN BUREN ST,12,23-May-10,1:30 PM,THEFT,OVER $500,N
HS323402,12XX,W,VAN BUREN ST,12,23-May-10,1:30 PM,THEFT,OVER $500,N
HS322581,19XX,N,CLARK ST,18,23-May-10,2:00 PM,THEFT,OVER $500,N
HS322353,33XX,S,SHIELDS AVE,9,23-May-10,3:19 PM,THEFT,OVER $500,N
HS322353,33XX,S,SHIELDS AVE,9,23-May-10,3:19 PM,THEFT,OVER $500,N
HS322796,34XX,N,HAMILTON AVE,19,23-May-10,4:00 PM,THEFT,OVER $500,N
HS322512,74XX,S,STATE ST,3,23-May-10,5:00 PM,THEFT,$500 AND UNDER,N
HS325328,11XX,N,DAMEN AVE,13,23-May-10,5:30 PM,THEFT,OVER $500,N
HS331148,7XX,N,CARPENTER ST,13,23-May-10,6:00 PM,THEFT,OVER $500,N
HS323997,2XX,N,HALSTED ST,12,23-May-10,6:30 PM,THEFT,OVER $500,N
HS322823,6XX,W,DIVISION ST,18,23-May-10,9:00 PM,THEFT,$500 AND UNDER,N
HS323296,1XX,S,WACKER DR,1,24-May-10,7:00 AM,THEFT,OVER $500,N
HS325830,2XX,S,LA SALLE ST,1,24-May-10,8:00 AM,THEFT,OVER $500,N
HS324524,27XX,N,SPAULDING AVE,14,24-May-10,8:00 AM,THEFT,OVER $500,N
HS326024,45XX,N,CHRISTIANA AVE,17,24-May-10,10:00 AM,THEFT,OVER $500,N
HS324348,26XX,N,CALIFORNIA AVE,14,24-May-10,10:13 AM,THEFT,OVER $500,N
HS324194,16XX,N,LAKE SHORE DR,18,24-May-10,11:00 AM,THEFT,OVER $500,N
HS323713,7XX,N,DAMEN AVE,13,24-May-10,11:00 AM,THEFT,OVER $500,N
HS323725,39XX,W,GEORGE ST,25,24-May-10,12:00 PM,THEFT,OVER $500,N
HS324457,XX,N,WACKER DR,1,24-May-10,12:30 PM,THEFT,$500 AND UNDER,N
HS324658,4XX,N,WABASH AVE,18,24-May-10,4:00 PM,THEFT,OVER $500,N
HS324487,10XX,N,CLARK ST,18,24-May-10,5:00 PM,THEFT,OVER $500,N
HS324498,45XX,S,ST LOUIS AVE,8,24-May-10,5:30 PM,THEFT,$500 AND UNDER,N
HS324463,14XX,W,CORNELIA AVE,19,24-May-10,7:00 PM,THEFT,OVER $500,N
HS324508,20XX,W,51ST ST,9,24-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS324692,18XX,N,HERMITAGE AVE,14,24-May-10,8:15 PM,THEFT,OVER $500,N
HS328990,41XX,N,MARINE DR,23,24-May-10,10:00 PM,THEFT,$500 AND UNDER,N
HS444761,25XX,W,FULLERTON AVE,14,24-May-10,10:00 PM,THEFT,OVER $500,N
HS325224,14XX,W,WARNER AVE,19,25-May-10,1:00 AM,THEFT,OVER $500,N
HS324929,21XX,W,DIVISION ST,13,25-May-10,1:10 AM,THEFT,OVER $500,N
HS325146,9XX,W,DIVERSEY PKWY,19,25-May-10,6:30 AM,THEFT,OVER $500,N
HS325203,10XX,N,CLARK ST,18,25-May-10,7:30 AM,THEFT,OVER $500,N
HS329417,25XX,W,ADDISON ST,19,25-May-10,7:40 AM,THEFT,$500 AND UNDER,N
HS326444,23XX,N,HALSTED ST,18,25-May-10,8:45 AM,THEFT,$500 AND UNDER,N
HS315830,56XX,S,KILBOURN AVE,8,25-May-10,9:00 AM,THEFT,$500 AND UNDER,N
HS327686,46XX,N,CENTRAL PARK AVE,17,25-May-10,11:00 AM,THEFT,OVER $500,N
HS325764,XX,W,ELM ST,18,25-May-10,11:00 AM,THEFT,OVER $500,N
HS325693,42XX,N,KIMBALL AVE,17,25-May-10,2:00 PM,THEFT,$500 AND UNDER,N
HS325693,42XX,N,KIMBALL AVE,17,25-May-10,2:00 PM,THEFT,$500 AND UNDER,N
HS325858,21XX,N,HAMLIN AVE,25,25-May-10,4:00 PM,THEFT,$500 AND UNDER,N
HS326081,26XX,W,87TH ST,8,25-May-10,5:00 PM,THEFT,$500 AND UNDER,N
HS326030,43XX,N,BROADWAY,23,25-May-10,5:10 PM,THEFT,OVER $500,N
HS326030,43XX,N,BROADWAY,23,25-May-10,5:10 PM,THEFT,OVER $500,N
HS328897,54XX,N,GLENWOOD AVE,20,25-May-10,6:00 PM,THEFT,$500 AND UNDER,N
HS326168,15XX,W,BERWYN AVE,20,25-May-10,6:00 PM,THEFT,OVER $500,N
HS343133,20XX,W,ADDISON ST,19,25-May-10,9:00 PM,THEFT,OVER $500,N
HS343133,20XX,W,ADDISON ST,19,25-May-10,9:00 PM,THEFT,OVER $500,N
HS327552,37XX,N,WILTON AVE,23,25-May-10,9:00 PM,THEFT,OVER $500,N
HT202948,64XX,N,MAGNOLIA AVE,24,26-May-10,12:30 AM,THEFT,$500 AND UNDER,N
HS328120,48XX,N,RAVENSWOOD AVE,20,26-May-10,6:30 AM,THEFT,OVER $500,N
HS328626,3XX,S,WABASH AVE,1,26-May-10,8:30 AM,THEFT,OVER $500,N
HS328888,XX,E,JACKSON BLVD,1,26-May-10,8:30 AM,THEFT,$500 AND UNDER,N
HS327158,1XX,E,ONTARIO ST,18,26-May-10,10:25 AM,THEFT,OVER $500,N
HS327665,11XX,E,57TH ST,21,26-May-10,12:00 PM,THEFT,$500 AND UNDER,N
HS328776,10XX,N,WELLS ST,18,26-May-10,12:15 PM,THEFT,OVER $500,N
HS328784,4XX,N,CITY FRONT PLAZA DR,18,26-May-10,12:15 PM,THEFT,OVER $500,N
HS329198,10XX,N,OAKLEY BLVD,13,26-May-10,3:00 PM,THEFT,$500 AND UNDER,N
HS327952,12XX,W,32ND ST,9,26-May-10,5:00 PM,THEFT,$500 AND UNDER,N
HS337480,40XX,N,KENMORE AVE,23,26-May-10,6:30 PM,THEFT,OVER $500,N
HS328916,41XX,N,ELSTON AVE,17,26-May-10,9:00 PM,THEFT,$500 AND UNDER,N
HS329687,53XX,N,VIRGINIA AVE,20,27-May-10,6:00 AM,THEFT,OVER $500,N
HS329972,18XX,N,LINCOLN AVE,18,27-May-10,12:00 PM,THEFT,OVER $500,N
HS330888,40XX,W,ARGYLE ST,17,27-May-10,12:10 PM,THEFT,OVER $500,N
HS329401,16XX,N,CLARK ST,18,27-May-10,1:00 PM,THEFT,OVER $500,N
HS330157,60XX,S,LOOMIS BLVD,7,27-May-10,2:30 PM,THEFT,$500 AND UNDER,N
HS330124,45XX,S,SAWYER AVE,8,27-May-10,5:00 PM,THEFT,$500 AND UNDER,N
HS331415,15XX,W,CULLOM AVE,19,27-May-10,6:00 PM,THEFT,OVER $500,N
HS330790,2XX,N,CLINTON ST,12,27-May-10,11:00 PM,THEFT,OVER $500,N
HS332074,9XX,W,FULLERTON AVE,18,28-May-10,12:00 AM,THEFT,OVER $500,N
HS336843,84XX,W,BRYN MAWR AVE,16,28-May-10,7:00 AM,THEFT,OVER $500,N
HS331436,49XX,N,MILWAUKEE AVE,16,28-May-10,7:40 AM,THEFT,$500 AND UNDER,N
HS379818,31XX,N,PINE GROVE AVE,23,28-May-10,12:00 PM,THEFT,OVER $500,N
HS336002,21XX,N,POINT ST,14,28-May-10,2:00 PM,THEFT,$500 AND UNDER,N
HS331623,39XX,S,MICHIGAN AVE,2,28-May-10,2:45 PM,THEFT,OVER $500,N
HS332612,26XX,N,KEDZIE AVE,14,28-May-10,4:00 PM,THEFT,$500 AND UNDER,N
HS383396,1XX,W,VAN BUREN ST,1,28-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS337648,5XX,W,WASHINGTON BLVD,1,28-May-10,8:30 PM,THEFT,OVER $500,N
HS333496,31XX,N,KIMBALL AVE,14,29-May-10,9:00 AM,THEFT,$500 AND UNDER,N
HS339553,28XX,N,SPRINGFIELD AVE,25,29-May-10,12:00 PM,THEFT,$500 AND UNDER,N
HS333087,21XX,W,HARRISON ST,12,29-May-10,1:30 PM,THEFT,OVER $500,N
HS333065,21XX,S,CHINA PL,21,29-May-10,2:00 PM,THEFT,OVER $500,N
HS333065,21XX,S,CHINA PL,21,29-May-10,2:00 PM,THEFT,OVER $500,N
HS335886,12XX,E,47TH ST,21,29-May-10,3:45 PM,THEFT,$500 AND UNDER,N
HS337327,4XX,N,MC CLURG CT,18,29-May-10,4:00 PM,THEFT,OVER $500,N
HS333439,123XX,S,LAFAYETTE AVE,5,29-May-10,6:45 PM,THEFT,$500 AND UNDER,N
HS334309,5XX,S,MICHIGAN AVE,1,30-May-10,9:00 AM,THEFT,OVER $500,N
HS334289,3XX,E,ILLINOIS ST,18,30-May-10,10:00 AM,THEFT,OVER $500,N
HS334112,1XX,N,WABASH AVE,1,30-May-10,10:30 AM,THEFT,OVER $500,N
HS334305,2XX,S,DEARBORN ST,1,30-May-10,1:00 PM,THEFT,OVER $500,N
HS334590,1XX,S,MICHIGAN AVE,1,30-May-10,3:00 PM,THEFT,$500 AND UNDER,N
HS334670,50XX,W,MADISON ST,15,30-May-10,6:20 PM,THEFT,$500 AND UNDER,N
HS334837,42XX,S,LAKE PARK AVE,21,30-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS335437,6XX,W,IRVING PARK RD,23,30-May-10,8:00 PM,THEFT,OVER $500,N
HS334928,34XX,S,UNION AVE,9,30-May-10,8:49 PM,THEFT,$500 AND UNDER,N
HS335260,55XX,N,HARLEM AVE,16,30-May-10,9:00 PM,THEFT,$500 AND UNDER,N
HS335598,19XX,W,ARGYLE ST,20,31-May-10,8:20 AM,THEFT,$500 AND UNDER,N
HS337753,33XX,N,OTTAWA AVE,16,31-May-10,5:00 PM,THEFT,$500 AND UNDER,N
HS336298,9XX,W,BELMONT AVE,19,31-May-10,7:00 PM,THEFT,$500 AND UNDER,N
HS336075,13XX,S,ST LOUIS AVE,10,31-May-10,7:30 PM,THEFT,$500 AND UNDER,N
HS339208,32XX,N,CICERO AVE,16,31-May-10,9:30 PM,THEFT,OVER $500,N
HS362337,75XX,N,PAULINA AVE,24,1-Jun-10,12:01 AM,THEFT,$500 AND UNDER,N
HS547164,14XX,W,FULLERTON AVE,19,1-Jun-10,12:01 AM,THEFT,OVER $500,N
HS337578,2XX,E,OHIO ST,18,1-Jun-10,7:20 AM,THEFT,OVER $500,N
HS347476,28XX,N,FRANCISCO AVE,14,1-Jun-10,10:00 AM,THEFT,OVER $500,N
HS337646,79XX,S,MOZART ST,8,1-Jun-10,10:00 AM,THEFT,$500 AND UNDER,N
HS339622,5XX,W,ARMITAGE AVE,18,1-Jun-10,6:00 PM,THEFT,$500 AND UNDER,N
HS337733,70XX,S,DORCHESTER AVE,3,1-Jun-10,6:00 PM,THEFT,$500 AND UNDER,N
HS345401,53XX,W,WINDSOR AVE,16,1-Jun-10,6:00 PM,THEFT,$500 AND UNDER,N
HS338416,21XX,N,DAMEN AVE,14,1-Jun-10,10:00 PM,THEFT,OVER $500,N
HS338749,19XX,N,CLYBOURN AVE,18,2-Jun-10,7:30 AM,THEFT,$500 AND UNDER,N
HS339165,13XX,W,WASHINGTON BLVD,12,2-Jun-10,1:00 PM,THEFT,OVER $500,N
HS340522,28XX,N,CLARK ST,19,2-Jun-10,2:00 PM,THEFT,OVER $500,N
HS381884,62XX,S,KILPATRICK AVE,8,2-Jun-10,2:00 PM,THEFT,$500 AND UNDER,N
HS422757,18XX,W,IRVING PARK RD,19,2-Jun-10,3:00 PM,THEFT,OVER $500,N
HS339474,XX,S,WABASH AVE,1,2-Jun-10,3:00 PM,THEFT,$500 AND UNDER,N
HS340478,55XX,W,EDMUNDS ST,16,2-Jun-10,5:00 PM,THEFT,OVER $500,N
HS340677,10XX,E,53RD ST,21,2-Jun-10,6:30 PM,THEFT,OVER $500,N
HS340677,10XX,E,53RD ST,21,2-Jun-10,6:30 PM,THEFT,OVER $500,N
HS341116,13XX,W,WAVELAND AVE,19,2-Jun-10,8:00 PM,THEFT,$500 AND UNDER,N
HS344391,54XX,N,KEDZIE AVE,17,3-Jun-10,12:40 AM,THEFT,OVER $500,N
HS341421,XX,N,CLARK ST,1,3-Jun-10,10:30 AM,THEFT,OVER $500,N
HS340528,66XX,S,BLACKSTONE AVE,3,3-Jun-10,11:00 AM,THEFT,$500 AND UNDER,N
HS340702,48XX,S,MICHIGAN AVE,2,3-Jun-10,11:00 AM,THEFT,$500 AND UNDER,N
HS340459,61XX,S,MORGAN ST,7,3-Jun-10,11:25 AM,THEFT,$500 AND UNDER,N
HS340542,43XX,N,WHIPPLE ST,17,3-Jun-10,12:20 PM,THEFT,$500 AND UNDER,N
HS347230,38XX,W,CERMAK RD,10,3-Jun-10,12:30 PM,THEFT,$500 AND UNDER,N
HS341947,22XX,N,BURLING ST,18,3-Jun-10,3:05 PM,THEFT,OVER $500,N
HS341925,48XX,N,RAVENSWOOD AVE,20,3-Jun-10,4:00 PM,THEFT,OVER $500,N
HS347534,14XX,W,BALMORAL AVE,20,3-Jun-10,5:00 PM,THEFT,OVER $500,N
